Symptom_Text,Water_Color,Water_Odor,Disease
"severe stomach cramps, bloody diarrhea, vomiting",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"vomiting, nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"vomiting, nausea",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, nausea, mild fever",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, nausea, vomiting, mild fever",Cloudy,Fecal,E. coli Infection
"vomiting, nausea, severe stomach cramps, bloody diarrhea",Brown,Sewage,E. coli Infection
"mild fever, severe stomach cramps, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, nausea",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, vomiting",Cloudy,Sewage,E. coli Infection
"nausea, bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting, mild fever",Brown,None,E. coli Infection
"bloody diarrhea, mild fever, nausea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"vomiting, mild fever",Brown,None,E. coli Infection
"mild fever, nausea, vomiting",Brown,None,E. coli Infection
"nausea, severe stomach cramps, mild fever",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, nausea",Cloudy,None,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea, nausea",Cloudy,None,E. coli Infection
"vomiting, nausea, bloody diarrhea",Brown,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting, severe stomach cramps",Brown,None,E. coli Infection
"bloody diarrhea, vomiting, nausea",Cloudy,Sewage,E. coli Infection
"nausea, mild fever",Cloudy,Fecal,E. coli Infection
"severe stomach cramps, nausea",Brown,None,E. coli Infection
"nausea, mild fever, vomiting, bloody diarrhea",Brown,Sewage,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea, mild fever",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting, nausea",Cloudy,None,E. coli Infection
"severe stomach cramps, nausea, bloody diarrhea, mild fever",Yellowish,None,E. coli Infection
"mild fever, nausea, bloody diarrhea, severe stomach cramps",Brown,None,E. coli Infection
"nausea, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"nausea, bloody diarrhea, vomiting",Cloudy,Fecal,E. coli Infection
"mild fever, severe stomach cramps, vomiting",Brown,Sewage,E. coli Infection
"mild fever, nausea",Yellowish,None,E. coli Infection
"vomiting, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, mild fever",Cloudy,Sewage,E. coli Infection
"vomiting, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, mild fever, vomiting, nausea",Brown,Sewage,E. coli Infection
"bloody diarrhea, nausea, mild fever",Cloudy,None,E. coli Infection
"bloody diarrhea, nausea, vomiting",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, nausea, mild fever",Yellowish,Fecal,E. coli Infection
"nausea, bloody diarrhea, vomiting, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, vomiting",Cloudy,Fecal,E. coli Infection
"mild fever, severe stomach cramps, vomiting",Brown,Fecal,E. coli Infection
"nausea, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"nausea, severe stomach cramps, mild fever",Brown,Sewage,E. coli Infection
"vomiting, nausea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"vomiting, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, nausea",Brown,Sewage,E. coli Infection
"mild fever, nausea, severe stomach cramps",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, severe stomach cramps, bloody diarrhea",Brown,None,E. coli Infection
"bloody diarrhea, mild fever, vomiting, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, bloody diarrhea, vomiting",Brown,Fecal,E. coli Infection
"vomiting, nausea, mild fever, bloody diarrhea",Yellowish,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea",Yellowish,Fecal,E. coli Infection
"nausea, mild fever, vomiting",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, vomiting, mild fever",Cloudy,Fecal,E. coli Infection
"mild fever, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps, mild fever, bloody diarrhea",Cloudy,Fecal,E. coli Infection
"vomiting, bloody diarrhea",Cloudy,None,E. coli Infection
"vomiting, nausea, mild fever",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting",Brown,Fecal,E. coli Infection
"severe stomach cramps, mild fever, nausea, vomiting",Brown,Sewage,E. coli Infection
"vomiting, nausea",Yellowish,None,E. coli Infection
"nausea, mild fever, vomiting, bloody diarrhea",Brown,None,E. coli Infection
"bloody diarrhea, nausea, vomiting",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, vomiting, nausea",Cloudy,Sewage,E. coli Infection
"mild fever, nausea, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"mild fever, nausea, vomiting",Cloudy,None,E. coli Infection
"mild fever, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,Fecal,E. coli Infection
"nausea, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, vomiting, severe stomach cramps, mild fever",Yellowish,Fecal,E. coli Infection
"vomiting, mild fever",Brown,Fecal,E. coli Infection
"bloody diarrhea, mild fever, vomiting",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, nausea",Cloudy,None,E. coli Infection
"bloody diarrhea, vomiting",Cloudy,None,E. coli Infection
"severe stomach cramps, nausea",Yellowish,None,E. coli Infection
"vomiting, bloody diarrhea, nausea, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting",Yellowish,Sewage,E. coli Infection
"vomiting, bloody diarrhea",Cloudy,None,E. coli Infection
"vomiting, mild fever, bloody diarrhea, severe stomach cramps",Brown,None,E. coli Infection
"nausea, mild fever, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"mild fever, nausea, vomiting, bloody diarrhea",Brown,Sewage,E. coli Infection
"vomiting, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"vomiting, severe stomach cramps, mild fever",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting",Brown,None,E. coli Infection
"bloody diarrhea, vomiting, severe stomach cramps, mild fever",Cloudy,None,E. coli Infection
"vomiting, mild fever, severe stomach cramps, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"vomiting, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"vomiting, nausea, severe stomach cramps",Brown,None,E. coli Infection
"mild fever, vomiting, severe stomach cramps, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Brown,None,E. coli Infection
"vomiting, mild fever, nausea, bloody diarrhea",Yellowish,None,E. coli Infection
"nausea, vomiting, bloody diarrhea",Yellowish,None,E. coli Infection
"mild fever, severe stomach cramps, vomiting, nausea",Cloudy,None,E. coli Infection
"nausea, mild fever",Cloudy,Fecal,E. coli Infection
"severe stomach cramps, vomiting",Brown,None,E. coli Infection
"nausea, bloody diarrhea, vomiting, severe stomach cramps",Cloudy,Sewage,E. coli Infection
"mild fever, severe stomach cramps",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, nausea",Cloudy,None,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Brown,Fecal,E. coli Infection
"nausea, mild fever",Yellowish,None,E. coli Infection
"mild fever, vomiting, bloody diarrhea, severe stomach cramps",Yellowish,None,E. coli Infection
"severe stomach cramps, bloody diarrhea, mild fever, nausea",Yellowish,None,E. coli Infection
"mild fever, bloody diarrhea, vomiting, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"nausea, bloody diarrhea, mild fever, vomiting",Brown,Sewage,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, nausea",Brown,None,E. coli Infection
"nausea, severe stomach cramps, vomiting",Cloudy,None,E. coli Infection
"mild fever, vomiting",Brown,Fecal,E. coli Infection
"vomiting, mild fever",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, nausea",Brown,Fecal,E. coli Infection
"mild fever, severe stomach cramps, vomiting",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, mild fever, vomiting",Cloudy,Fecal,E. coli Infection
"nausea, bloody diarrhea",Brown,Fecal,E. coli Infection
"mild fever, nausea, vomiting, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever, nausea",Yellowish,Fecal,E. coli Infection
"nausea, vomiting",Cloudy,Fecal,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps, vomiting",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea, vomiting, severe stomach cramps",Yellowish,None,E. coli Infection
"nausea, severe stomach cramps, vomiting",Brown,Sewage,E. coli Infection
"nausea, vomiting, bloody diarrhea, mild fever",Cloudy,None,E. coli Infection
"severe stomach cramps, nausea, vomiting, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"nausea, bloody diarrhea, vomiting, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, vomiting, nausea",Brown,Sewage,E. coli Infection
"severe stomach cramps, bloody diarrhea",Brown,Sewage,E. coli Infection
"severe stomach cramps, nausea, vomiting, mild fever",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, vomiting",Yellowish,None,E. coli Infection
"nausea, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea",Yellowish,None,E. coli Infection
"mild fever, vomiting, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"vomiting, nausea, bloody diarrhea, mild fever",Yellowish,None,E. coli Infection
"vomiting, severe stomach cramps",Brown,Fecal,E. coli Infection
"vomiting, nausea, bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, vomiting",Yellowish,Fecal,E. coli Infection
"nausea, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, nausea, severe stomach cramps, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"mild fever, bloody diarrhea, nausea",Cloudy,None,E. coli Infection
"mild fever, vomiting, bloody diarrhea",Brown,None,E. coli Infection
"severe stomach cramps, vomiting, nausea, mild fever",Yellowish,None,E. coli Infection
"bloody diarrhea, mild fever",Cloudy,Sewage,E. coli Infection
"vomiting, nausea, mild fever, severe stomach cramps",Brown,Fecal,E. coli Infection
"mild fever, nausea, bloody diarrhea, severe stomach cramps",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, vomiting",Cloudy,None,E. coli Infection
"bloody diarrhea, mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"mild fever, bloody diarrhea",Brown,Fecal,E. coli Infection
"mild fever, vomiting, bloody diarrhea, severe stomach cramps",Cloudy,Sewage,E. coli Infection
"mild fever, bloody diarrhea",Cloudy,None,E. coli Infection
"vomiting, severe stomach cramps, bloody diarrhea, mild fever",Brown,Fecal,E. coli Infection
"nausea, vomiting",Brown,Fecal,E. coli Infection
"severe stomach cramps, nausea, bloody diarrhea",Brown,None,E. coli Infection
"vomiting, bloody diarrhea, mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"severe stomach cramps, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea, mild fever",Cloudy,None,E. coli Infection
"mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, vomiting",Brown,None,E. coli Infection
"vomiting, mild fever",Brown,None,E. coli Infection
"vomiting, bloody diarrhea, mild fever",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea, mild fever",Brown,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,Sewage,E. coli Infection
"mild fever, vomiting",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, vomiting, nausea",Brown,None,E. coli Infection
"severe stomach cramps, bloody diarrhea",Brown,Sewage,E. coli Infection
"bloody diarrhea, mild fever",Brown,Sewage,E. coli Infection
"nausea, vomiting, severe stomach cramps",Brown,None,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever, nausea, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"nausea, severe stomach cramps, mild fever",Cloudy,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting, nausea",Cloudy,Fecal,E. coli Infection
"severe stomach cramps, mild fever, vomiting",Cloudy,Fecal,E. coli Infection
"nausea, severe stomach cramps, vomiting, bloody diarrhea",Brown,Sewage,E. coli Infection
"mild fever, nausea, bloody diarrhea, vomiting",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, mild fever, nausea, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"vomiting, mild fever, severe stomach cramps, nausea",Yellowish,None,E. coli Infection
"nausea, bloody diarrhea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"vomiting, nausea",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,Fecal,E. coli Infection
"nausea, vomiting",Cloudy,Fecal,E. coli Infection
"mild fever, vomiting",Brown,Fecal,E. coli Infection
"vomiting, bloody diarrhea, mild fever, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, bloody diarrhea, mild fever, nausea",Cloudy,None,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,None,E. coli Infection
"bloody diarrhea, vomiting, nausea, severe stomach cramps",Brown,None,E. coli Infection
"bloody diarrhea, vomiting",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, severe stomach cramps",Brown,Sewage,E. coli Infection
"mild fever, vomiting",Yellowish,None,E. coli Infection
"vomiting, nausea, severe stomach cramps, mild fever",Cloudy,Sewage,E. coli Infection
"nausea, bloody diarrhea, severe stomach cramps, vomiting",Brown,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea, severe stomach cramps, mild fever",Brown,Fecal,E. coli Infection
"bloody diarrhea, vomiting, nausea, mild fever",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, mild fever",Cloudy,Sewage,E. coli Infection
"mild fever, severe stomach cramps",Brown,None,E. coli Infection
"vomiting, mild fever, bloody diarrhea, nausea",Yellowish,None,E. coli Infection
"vomiting, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, nausea, vomiting",Brown,Fecal,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"nausea, bloody diarrhea",Yellowish,None,E. coli Infection
"nausea, mild fever, severe stomach cramps, vomiting",Cloudy,Sewage,E. coli Infection
"vomiting, bloody diarrhea, nausea",Yellowish,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, vomiting",Yellowish,None,E. coli Infection
"nausea, vomiting, mild fever",Brown,None,E. coli Infection
"severe stomach cramps, bloody diarrhea, vomiting, nausea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, mild fever",Cloudy,Sewage,E. coli Infection
"nausea, mild fever",Cloudy,None,E. coli Infection
"mild fever, vomiting, nausea, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, vomiting, severe stomach cramps",Brown,None,E. coli Infection
"mild fever, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, severe stomach cramps, nausea",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, nausea",Yellowish,Fecal,E. coli Infection
"nausea, bloody diarrhea, mild fever, vomiting",Brown,None,E. coli Infection
"bloody diarrhea, mild fever",Brown,None,E. coli Infection
"severe stomach cramps, vomiting, mild fever",Yellowish,None,E. coli Infection
"bloody diarrhea, mild fever, severe stomach cramps, vomiting",Brown,None,E. coli Infection
"bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, nausea",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"vomiting, mild fever, nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,Fecal,E. coli Infection
"vomiting, mild fever, nausea",Brown,Fecal,E. coli Infection
"vomiting, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, vomiting, nausea",Cloudy,Sewage,E. coli Infection
"nausea, bloody diarrhea, mild fever, severe stomach cramps",Brown,Fecal,E. coli Infection
"bloody diarrhea, mild fever",Brown,None,E. coli Infection
"vomiting, mild fever, bloody diarrhea",Yellowish,None,E. coli Infection
"vomiting, bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps",Brown,None,E. coli Infection
"vomiting, mild fever, severe stomach cramps",Brown,Sewage,E. coli Infection
"mild fever, severe stomach cramps, vomiting",Brown,Sewage,E. coli Infection
"severe stomach cramps, nausea",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, severe stomach cramps, nausea",Cloudy,Fecal,E. coli Infection
"mild fever, vomiting, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"nausea, vomiting, severe stomach cramps, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"nausea, mild fever, bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"nausea, vomiting, mild fever",Brown,None,E. coli Infection
"nausea, mild fever",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"nausea, vomiting, bloody diarrhea, severe stomach cramps",Brown,None,E. coli Infection
"nausea, mild fever",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea",Brown,Fecal,E. coli Infection
"nausea, vomiting, severe stomach cramps, mild fever",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, nausea, mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"nausea, severe stomach cramps, mild fever",Brown,Sewage,E. coli Infection
"nausea, mild fever, severe stomach cramps, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, vomiting",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, bloody diarrhea",Brown,Fecal,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, nausea, vomiting, mild fever",Brown,Fecal,E. coli Infection
"mild fever, vomiting",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, vomiting, mild fever",Cloudy,Fecal,E. coli Infection
"nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"vomiting, nausea, bloody diarrhea, mild fever",Cloudy,None,E. coli Infection
"vomiting, bloody diarrhea, nausea",Yellowish,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting",Brown,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, vomiting",Yellowish,None,E. coli Infection
"nausea, bloody diarrhea, mild fever, vomiting",Brown,None,E. coli Infection
"mild fever, severe stomach cramps",Brown,None,E. coli Infection
"vomiting, bloody diarrhea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"nausea, mild fever, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea, vomiting",Brown,Fecal,E. coli Infection
"bloody diarrhea, mild fever",Cloudy,None,E. coli Infection
"vomiting, nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"nausea, mild fever",Brown,Fecal,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"vomiting, severe stomach cramps, nausea",Yellowish,None,E. coli Infection
"vomiting, nausea, bloody diarrhea, mild fever",Brown,None,E. coli Infection
"nausea, mild fever, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"nausea, vomiting",Cloudy,Sewage,E. coli Infection
"nausea, vomiting",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, bloody diarrhea, mild fever, nausea",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, vomiting",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, mild fever",Brown,Sewage,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, vomiting",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, severe stomach cramps",Brown,Sewage,E. coli Infection
"mild fever, bloody diarrhea, vomiting, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"mild fever, bloody diarrhea, vomiting, nausea",Brown,Fecal,E. coli Infection
"bloody diarrhea, nausea, vomiting",Yellowish,Fecal,E. coli Infection
"nausea, vomiting, bloody diarrhea, severe stomach cramps",Brown,Sewage,E. coli Infection
"mild fever, bloody diarrhea, vomiting",Cloudy,Sewage,E. coli Infection
"mild fever, nausea, vomiting, bloody diarrhea",Yellowish,None,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, bloody diarrhea, mild fever",Brown,Fecal,E. coli Infection
"vomiting, nausea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, nausea, severe stomach cramps, vomiting",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, vomiting, bloody diarrhea",Yellowish,None,E. coli Infection
"mild fever, nausea, bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea, nausea",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps, mild fever",Yellowish,None,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea, vomiting",Brown,Sewage,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea, vomiting",Yellowish,None,E. coli Infection
"severe stomach cramps, mild fever",Yellowish,Sewage,E. coli Infection
"vomiting, mild fever, bloody diarrhea",Brown,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, vomiting",Brown,None,E. coli Infection
"mild fever, nausea, severe stomach cramps, vomiting",Yellowish,Sewage,E. coli Infection
"bloody diarrhea, vomiting, mild fever, nausea",Brown,Fecal,E. coli Infection
"nausea, mild fever",Cloudy,Sewage,E. coli Infection
"mild fever, bloody diarrhea, nausea, severe stomach cramps",Brown,None,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, bloody diarrhea",Cloudy,None,E. coli Infection
"mild fever, nausea, vomiting",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever, vomiting",Brown,Sewage,E. coli Infection
"mild fever, nausea, vomiting, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"vomiting, bloody diarrhea, nausea, mild fever",Cloudy,None,E. coli Infection
"severe stomach cramps, nausea, vomiting",Brown,Sewage,E. coli Infection
"vomiting, bloody diarrhea, mild fever, nausea",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps, vomiting, mild fever",Cloudy,Fecal,E. coli Infection
"nausea, mild fever",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps, vomiting",Cloudy,Fecal,E. coli Infection
"vomiting, nausea",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever",Cloudy,None,E. coli Infection
"bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"nausea, vomiting, bloody diarrhea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"mild fever, nausea, severe stomach cramps",Brown,Sewage,E. coli Infection
"severe stomach cramps, nausea",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, nausea",Brown,Sewage,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps, vomiting",Cloudy,None,E. coli Infection
"nausea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"vomiting, bloody diarrhea, nausea",Brown,Sewage,E. coli Infection
"nausea, mild fever, vomiting",Brown,Fecal,E. coli Infection
"vomiting, nausea, mild fever",Brown,None,E. coli Infection
"nausea, severe stomach cramps, vomiting, mild fever",Cloudy,None,E. coli Infection
"mild fever, nausea",Cloudy,Fecal,E. coli Infection
"mild fever, vomiting",Cloudy,Sewage,E. coli Infection
"mild fever, severe stomach cramps, nausea",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, nausea, bloody diarrhea",Cloudy,Fecal,E. coli Infection
"nausea, bloody diarrhea, vomiting",Brown,Sewage,E. coli Infection
"vomiting, bloody diarrhea, mild fever, nausea",Cloudy,Fecal,E. coli Infection
"vomiting, nausea",Cloudy,Fecal,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps",Yellowish,None,E. coli Infection
"mild fever, nausea, severe stomach cramps, vomiting",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, mild fever, nausea",Yellowish,None,E. coli Infection
"mild fever, bloody diarrhea",Brown,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"mild fever, vomiting, nausea, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"bloody diarrhea, nausea, vomiting",Yellowish,Fecal,E. coli Infection
"vomiting, bloody diarrhea, nausea, mild fever",Yellowish,None,E. coli Infection
"bloody diarrhea, severe stomach cramps",Cloudy,None,E. coli Infection
"bloody diarrhea, nausea, vomiting, severe stomach cramps",Brown,None,E. coli Infection
"nausea, vomiting, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"nausea, mild fever, bloody diarrhea",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting, nausea",Brown,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, vomiting",Brown,Sewage,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, vomiting, nausea",Cloudy,Sewage,E. coli Infection
"mild fever, nausea, vomiting, bloody diarrhea",Yellowish,Sewage,E. coli Infection
